COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,2021-06-08,641295,482952,1.647,1.241,"Beijing CNBG - Inactivated,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,3
Albania,ALB,EURO,REPORTING,2021-05-30,767891,477565,26.7,16.595,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5
Algeria,DZA,AFRO,REPORTING,2021-06-08,,,,,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2021-01-30,3
American Samoa,ASM,WPRO,REPORTING,2021-05-28,42271,23188,76.582,42.01,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-21,3
Andorra,AND,EURO,REPORTING,2021-05-30,35926,27614,46.5,35.739,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-20,2
Angola,AGO,AFRO,REPORTING,2021-06-08,1115919,740289,3.395,2.252,SII - Covishield,2021-03-10,1
Anguilla,AIA,AMRO,REPORTING,2021-06-04,14557,9044,97.034,60.285,AstraZeneca - AZD1222,2021-02-05,1
Antigua and Barbuda,ATG,AMRO,REPORTING,2021-06-04,51811,33632,52.907,34.343,"AstraZeneca - AZD1222,SII - Covishield",2021-02-19,2
Argentina,ARG,AMRO,REPORTING,2021-06-04,13374067,10417359,29.591,23.049,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,SII - Covishield",2020-12-29,4
Armenia,ARM,EURO,OWID,2021-05-30,33529,33529,1.1,1.132,"AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V",,3
Aruba,ABW,AMRO,REPORTING,2021-06-04,116549,63997,109.163,59.941,"Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty",2021-02-17,2
Australia,AUS,WPRO,REPORTING,2021-06-07,5203977,4450000,20.408,17.451,"AstraZeneca - AZD1222,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-22,3
Austria,AUT,EURO,REPORTING,2021-05-30,5128751,3611151,57.6,40.57,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Azerbaijan,AZE,EURO,REPORTING,2021-05-30,2252366,1352247,22.2,13.337,"AstraZeneca - AZD1222,Gamaleya - Sputnik V,Sinovac - CoronaVac",2021-01-20,3
Bahamas,BHS,AMRO,REPORTING,2021-06-04,52037,43378,13.233,11.031,"AstraZeneca - AZD1222,SII - Covishield",2021-03-14,2
Bahrain,BHR,EMRO,REPORTING,2021-06-08,1838561,1006617,108.051,59.158,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-25,6
Bangladesh,BGD,SEARO,REPORTING,2021-06-01,10008400,5822157,6.077,3.535,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-27,4
Barbados,BRB,AMRO,REPORTING,2021-06-04,141282,80392,49.163,27.975,"AstraZeneca - AZD1222,SII - Covishield",2021-02-10,2
Belarus,BLR,EURO,REPORTING,2021-05-30,796834,517151,8.4,5.473,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V",2021-02-03,2
Belgium,BEL,EURO,REPORTING,2021-05-30,6726846,4620643,58.4,40.101,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Belize,BLZ,AMRO,REPORTING,2021-06-04,77607,65829,19.517,16.555,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,SII - Covishield",2021-03-01,3
Benin,BEN,AFRO,REPORTING,2021-06-08,26624,21834,0.22,0.18,"SII - Covishield,Sinovac - CoronaVac",2021-03-29,2
Bermuda,BMU,AMRO,REPORTING,2021-06-04,70731,37360,113.582,59.994,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty",2021-01-11,2
Bhutan,BTN,SEARO,REPORTING,2021-05-31,483092,483092,62.608,62.608,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,2
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2021-06-04,1779174,1422602,15.242,12.187,"Beijing CNBG - Inactivated,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,4
Bonaire,XAA,AMRO,REPORTING,2021-06-04,24679,13855,117.997,66.244,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,"Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-02-22,2
Bosnia and Herzegovina,BIH,EURO,OWID,2021-05-25,232706,188848,7.1,5.756,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,2021-06-08,54620,54620,2.323,2.323,SII - Covishield,2021-03-26,1
Brazil,BRA,AMRO,REPORTING,2021-06-04,65853664,45110814,30.981,21.223,"AstraZeneca - AZD1222,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,4
British Virgin Islands,VGB,AMRO,REPORTING,2021-06-04,16302,11553,53.914,38.208,AstraZeneca - AZD1222,2021-02-11,1
Brunei Darussalam,BRN,WPRO,REPORTING,2021-06-05,56135,44845,12.831,10.251,"AstraZeneca - AZD1222,Beijing CNBG - Inactivated,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2021-04-03,5
Bulgaria,BGR,EURO,REPORTING,2021-05-30,1359657,801178,19.6,11.525,"AstraZeneca - AZD1222,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",2020-12-30,4
Burkina Faso,BFA,AFRO,REPORTING,2021-06-08,,,,,SII - Covishield,2021-06-02,1
Cabo Verde,CPV,AFRO,REPORTING,2021-06-08,34449,31748,6.196,5.71,"Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,2
Cambodia,KHM,WPRO,REPORTING,2021-06-05,4839260,2710359,28.945,16.211,"Beijing CNBG - Inactivated,SII - Covishield,Sinovac - CoronaVac",2021-02-10,3
Cameroon,CMR,AFRO,REPORTING,2021-06-08,80445,66216,0.303,0.249,"Beijing CNBG - Inactivated,SII - Covishield",2021-04-12,2
